timestamp,run,accuracy,precision,recall,f1,false_acceptance_rate,roc_area,auc
2025-11-01 04:52:42,JustGaussianBlur,1.0,1.0,1.0,1.0,0.0,nan,nan
2025-11-01 04:57:27,JustOtsu,0.03571428571428571,0.0012755102040816326,0.03571428571428571,0.0024630541871921183,0.03571428439153444,nan,nan
2025-11-01 05:13:06,JustRobert,1.0,1.0,1.0,1.0,0.0,nan,nan
2025-11-01 05:26:55,JustGrayscale,1.0,1.0,1.0,1.0,0.0,nan,nan
2025-11-01 05:42:58,JustPrewitt,1.0,1.0,1.0,1.0,0.0,nan,nan
2025-11-01 05:56:34,JustSobel,1.0,1.0,1.0,1.0,0.0,nan,nan
2025-11-01 08:59:45,JustGaussianBlur,0.9969348659003832,0.9969677192674988,0.996934865900383,0.9969386723512721,0.00010946907498631634,0.9999966551115977,0.9999966551115977
2025-11-01 09:03:57,JustOtsu,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436,0.034482758620689655,0.5,0.5
2025-11-01 09:17:25,JustRobert,0.998927203065134,0.998934956744626,0.998927203065134,0.9989279541535173,3.831417624521072e-05,0.9999996594295445,0.9999996594295445
2025-11-01 09:27:31,JustGrayscale,0.9983141762452107,0.9983177074662538,0.9983141762452107,0.9983139969868924,6.020799124247399e-05,0.9999957915222284,0.9999957915222284
2025-11-01 09:40:57,JustPrewitt,0.9986206896551724,0.9986355418337797,0.9986206896551724,0.9986208837563197,4.926108374384235e-05,0.9999997628170041,0.9999997628170041
2025-11-01 09:53:32,JustSobel,0.998544061302682,0.9985469308414763,0.998544061302682,0.998543286677274,5.199781061850026e-05,0.9999988931460196,0.9999988931460196
